Item	Recipe	Input	Machine	Output
Adaptive Control Unit	Adaptive Control Unit	5xAutomated Wiring, 5xCircuit Board, 1xHeavy Modular Frame, 2xComputer	Manufacturer	1xAdaptive Control Unit
AI Expansion Server	AI Expansion Server	4xMagnetic Field Generator, 4xNeural-Quantum Processor, 4xSuperposition Oscillator, 100xExcited Photonic Matter	Quantum Encoder	4xAI Expansion Server, 100xDark Matter Residue
AI Limiter	Alternate: Plastic AI Limiter	120xQuickwire, 28xPlastic	Assembler	8xAI Limiter
Alclad Aluminum Sheet	Alclad Aluminum Sheet	30xAluminum Ingot, 10xCopper Ingot	Assembler	30xAlclad Aluminum Sheet
Alien Power Matrix	Alien Power Matrix	12.5xSAM Fluctuator, 7.5xPower Shard, 7.5xSuperposition Oscillator, 60xExcited Photonic Matter	Quantum Encoder	2.5xAlien Power Matrix, 60xDark Matter Residue
Alumina Solution	Alternate: Sloppy Alumina	200xBauxite, 200xWater	Refinery	240xAlumina Solution
Aluminum Casing	Alternate: Alclad Casing	150xAluminum Ingot, 75xCopper Ingot	Assembler	112.5xAluminum Casing
Aluminum Ingot	Alternate: Pure Aluminum Ingot	60xAluminum Scrap	Smelter	30xAluminum Ingot
Aluminum Scrap	Alternate: Electrode Aluminum Scrap	180xAlumina Solution, 60xPetroleum Coke	Refinery	300xAluminum Scrap, 105xWater
Assembly Director System	Assembly Director System	1.5xAdaptive Control Unit, 0.75xSupercomputer	Assembler	0.75xAssembly Director System
Automated Wiring	Automated Wiring	2.5xStator, 50xCable	Assembler	2.5xAutomated Wiring
Ballistic Warp Drive	Ballistic Warp Drive	1xThermal Propulsion Rocket, 5xSingularity Cell, 2xSuperposition Oscillator, 40xDark Matter Crystal	Manufacturer	1xBallistic Warp Drive
Battery	Alternate: Classic Battery	45xSulfur, 52.5xAlclad Aluminum Sheet, 60xPlastic, 90xWire	Manufacturer	30xBattery
Bauxite	Bauxite (Copper)	10xReanimated SAM, 180xCopper Ore	Converter	120xBauxite
Biochemical Sculptor	Biochemical Sculptor	0.5xAssembly Director System, 40xFicsite Trigon, 10xWater	Blender	2xBiochemical Sculptor
Black Powder	Alternate: Fine Black Powder	7.5xSulfur, 15xCompacted Coal	Assembler	45xBlack Powder
Cable	Cable	60xWire	Constructor	30xCable
Caterium Ingot	Alternate: Pure Caterium Ingot	24xCaterium Ore, 24xWater	Refinery	12xCaterium Ingot
Caterium Ore	Caterium Ore (Copper)	10xReanimated SAM, 150xCopper Ore	Converter	120xCaterium Ore
Circuit Board	Alternate: Caterium Circuit Board	12.5xPlastic, 37.5xQuickwire	Assembler	8.75xCircuit Board
Cluster Nobelisk	Cluster Nobelisk	7.5xNobelisk, 10xSmokeless Powder	Assembler	2.5xCluster Nobelisk
Compacted Coal	Alternate: Compacted Coal	25xCoal, 25xSulfur	Assembler	25xCompacted Coal
Computer	Alternate: Caterium Computer	15xCircuit Board, 52.5xQuickwire, 22.5xRubber	Manufacturer	3.75xComputer
Concrete	Alternate: Wet Concrete	120xLimestone, 100xWater	Refinery	80xConcrete
Cooling System	Alternate: Cooling Device	10xHeat Sink, 2.5xMotor, 60xNitrogen Gas	Blender	5xCooling System
Copper Ingot	Alternate: Pure Copper Ingot	15xCopper Ore, 10xWater	Refinery	37.5xCopper Ingot
Copper Powder	Copper Powder	300xCopper Ingot	Constructor	50xCopper Powder
Copper Sheet	Alternate: Steamed Copper Sheet	22.5xCopper Ingot, 22.5xWater	Refinery	22.5xCopper Sheet
